from_esr;from_name;to_esr;to_name
35004;Предпортовая;35103;Новый Порт (перев.)
35014;ОП Предпортовая;34825;ОП Аэропорт
35103;Новый Порт (перев.);35207;Цветочная
35207;Цветочная;35404;Автово (перев.)
35300;Санкт-Петербург-Балтийский (эксп.);36002;Санкт-Петербург-Балтийский
35315;ОП Электродепо;35323;Броневая
35323;Броневая;35334;ОП Ленинский Проспект
35323;Броневая;35334;ОП Ленинский Проспект
35334;ОП Ленинский Проспект;34524;ОП Дачное
35334;ОП Ленинский Проспект;35014;ОП Предпортовая
35404;Автово (перев.);35508;Автово
35508;Автово;35601;Автово (эксп.)
35601;Автово (эксп.);35705;Нарвская
35705;Нарвская;35809;Новый Порт
35809;Новый Порт;35902;Новый Порт (эксп.)
35902;Новый Порт (эксп.);36200;Предпортовая (эксп.)
36002;Санкт-Петербург-Балтийский;35315;ОП Электродепо
36106;Мельничный Ручей;36144;ОП Щеглово
36106;Мельничный Ручей;36110;ОП Романовка
36110;ОП Романовка;36125;ОП Корнево
36125;ОП Корнево;36133;ОП Проба
36133;ОП Проба;36229;ОП Рахья
36144;ОП Щеглово;36407;Кирпичный Завод
36200;Предпортовая (эксп.);36708;Дача Долгорукова (эксп.)
36214;ОП Ириновка;36303;Борисова Грива
36229;ОП Рахья;36214;ОП Ириновка
36303;Борисова Грива;36318;ОП Ваганово
36318;ОП Ваганово;36322;ОП Ост. Пункт 44 км
36322;ОП Ост. Пункт 44 км;36337;Ладожское Озеро
;;;
36407;Кирпичный Завод;36411;ОП Радченко
36411;ОП Радченко;36426;ОП Дунай
36426;ОП Дунай;36430;ОП Ост. Пункт 19 км
36430;ОП Ост. Пункт 19 км;36445;ОП Ост. Пункт 21 км
36445;ОП Ост. Пункт 21 км;36500;Петрокрепость
36500;Петрокрепость;36515;ОП Сады
36515;ОП Сады;36529;ОП Черная Речка
36529;ОП Черная Речка;36534;ОП Теплобетонная
36534;ОП Теплобетонная;36549;ОП Ост. Пункт 37 км
36549;ОП Ост. Пункт 37 км;36604;Невская Дубровка
;;;
36708;Дача Долгорукова (эксп.);37109;Дача Долгорукова
36712;ОП Всеволожская;36106;Мельничный Ручей
36727;ОП Бернгардовка;36712;ОП Всеволожская
36731;ОП Ковалево;36727;ОП Бернгардовка
36746;ОП Пост-Ковалево;36731;ОП Ковалево
36801;Нева;36905;Заневский Пост
36905;Заневский Пост;30580;ОП Ост. Пункт 2 км
36905;Заневский Пост;37202;Заневский Пост (эксп.)
37005;Ржевка;36746;ОП Пост-Ковалево
;;;
37024;Пискаревка;38101;Ручьи
37024;Пискаревка;37005;Ржевка
37043;ОП Ост. пункт 5 км;31013;ОП Фарфоровская
37109;Дача Долгорукова;37306;Полюстрово
37109;Дача Долгорукова;38101;Ручьи
37109;Дача Долгорукова;30580;ОП Ост. Пункт 2 км
;;;
37306;Полюстрово;37405;Кушелевка
;;;
37503;Сосново;22635;ОП Ост. Пункт 78 км
37518;ОП Ост. Пункт 69 км;37503;Сосново
37522;ОП Ост. Пункт 67 км;37518;ОП Ост. Пункт 69 км
37541;ОП Лемболово;37804;Орехово
37556;ОП Ост. Пункт 54 км;37541;ОП Лемболово
37560;Васкелово;37556;ОП Ост. Пункт 54 км
37575;ОП Ост. Пункт 47 км;37560;Васкелово
37607;Грузино;37575;ОП Ост. Пункт 47 км
37611;ОП Ост. Пункт 39 км;37607;Грузино
37700;Пери;37611;ОП Ост. Пункт 39 км
37715;ОП Осельки;37700;Пери
37724;ОП Кавголово;37715;ОП Осельки
37804;Орехово;37522;ОП Ост. Пункт 67 км
37908;Токсово;37724;ОП Кавголово
37912;ОП Кузьмолово;37908;Токсово
38008;Капитолово;37912;ОП Кузьмолово
38012;ОП Лаврики;38008;Капитолово
38027;Девяткино;38012;ОП Лаврики
38031;ОП Новая Охта;38027;Девяткино
38101;Ручьи;38031;ОП Новая Охта
